gene	disease_1	disease_2	disease_3	disease_4	disease_5	disease_6	disease_7	disease_8	disease_9	disease_10	disease_11	disease_12	disease_13	disease_14	disease_15
1	MIM138670														
10	MIM243400	MIM612182													
100	MIM102700	MIM608958													
1000	MIM114020														
10000	MIM611223														
100008586	MIM300730														
100009675	MIM611107														
10001	MIM602984														
10002	MIM268100	MIM604485	MIM611131												
10003	MIM611636														
100033413	MIM176270	MIM605436													
100034700	MIM104000														
100034701	MIM274000														
100034703	MIM610753														
100034704	MIM610805														
100034705	MIM610840														
100036519	MIM611085														
100037264	MIM300591														
100037265	MIM609822														
100037266	MIM610114														
100038246	MIM612734														
100038247	MIM610883														
100038248	MIM610898														
100038747	MIM117360														
10004	MIM602640														
100048905	MIM609918														
100048906	MIM609919														
100048912	MIM613149														
100049159	MIM611945														
100049160	MIM611515														
100049541	MIM184450														
100049542	MIM246560														
100049543	MIM609261														
100049544	MIM610422														
100049707	MIM612335														
10005	MIM608123														
10006	MIM603050														
10007	MIM601798														
10008	MIM604433	MIM613119													
10009	MIM300329														
1001	MIM114021	MIM225280	MIM601553												
10010	MIM603893														
100101420	MIM611090														
100101423	MIM611094														
100101424	MIM611095														
100101425	MIM611096														
100101426	MIM611097														
100101629	MIM300638														
10011	MIM603819														
100124414	MIM611010														
100124415	MIM611031														
100124696	MIM227050														
100124700	MIM611400														
100125288	MIM611639														
100126095	MIM611302														
100126270	MIM300805														
100126296	MIM614914														
100126314	MIM611619														
100126336	MIM613613														
100126337	MIM300876														
100126355	MIM614735														
100126593	MIM611247														
100126594	MIM611364														
100126595	MIM611376														
100126791	MIM611662														
100126794	MIM612130														
100128327	MIM614137														
100128553	MIM608910														
100128927	MIM613915														
100129842	MIM603984														
100129885	MIM609067														
10013	MIM300272														
100131137	MIM612213														
100131801	MIM614770														
100132074	MIM611457														
100132285	MIM604953														
100132399	MIM300728														
100132406	MIM614000														
100132417	MIM601503														
100133941	MIM126200	MIM600074													
100134444	MIM613236	MIM613239													
100134934	MIM613130														
100137049	MIM606088														
10014	MIM605315														
100144434	MIM611631														
100144748	MIM612105														
10015	MIM608074														
100151644	MIM612096														
100151683	MIM210710	MIM601428													
100151684	MIM601429														
10016	MIM601057														
10017	MIM606910														
10018	MIM603827														
100187710	MIM612231														
100187711	MIM612232														
100187716	MIM611620														
100187717	MIM611897														
100187724	MIM611913														
100187749	MIM105563														
100187761	MIM110350														
100187828	MIM146350														
100187907	MIM190445														
100188011	MIM263000														
100188278	MIM610158														
100188314	MIM610838														
100188317	MIM610908														
100188321	MIM611014														
100188328	MIM611147														
100188340	MIM100300														
100188397	MIM144150														
100188695	MIM609128														
100188748	MIM610926														
100188754	MIM611154														
100188765	MIM300580														
100188767	MIM300652														
100188768	MIM300703														
100188769	MIM300704														
100188771	MIM300710														
100188772	MIM300711														
100188773	MIM300712														
100188774	MIM300719														
100188775	MIM308905														
100188776	MIM425500														
100188782	MIM608036														
100188784	MIM109200														
100188785	MIM145701														
100188787	MIM153600														
100188788	MIM609425														
100188789	MIM609558														
100188790	MIM609570														
100188791	MIM609630														
100188792	MIM609633														
100188793	MIM609656														
100188794	MIM609657														
100188795	MIM609790														
100188796	MIM609800														
100188797	MIM609876														
100188798	MIM609903														
100188800	MIM609954														
100188801	MIM609958														
100188802	MIM610064														
100188803	MIM610065														
100188804	MIM610066														
100188805	MIM185100														
100188806	MIM610239														
100188807	MIM610261														
100188808	MIM610262														
100188809	MIM610321														
100188810	MIM610402														
100188811	MIM610430														
100188812	MIM610438														
100188813	MIM610439														
100188814	MIM610543														
100188815	MIM610649														
100188816	MIM610676														
100188817	MIM610760														
100188818	MIM610761														
100188819	MIM610762														
100188820	MIM610836														
100188821	MIM610839														
100188822	MIM610873														
100188823	MIM610906														
100188825	MIM610948														
100188826	MIM610997														
100188827	MIM611003														
100188828	MIM611004														
100188829	MIM611046														
100188830	MIM611073														
100188831	MIM611091														
100188832	MIM209850														
100188834	MIM611100														
100188835	MIM611109														
100188836	MIM611139														
100188837	MIM611152														
100188838	MIM611155														
100188839	MIM611242														
100188840	MIM611403														
100188841	MIM611469														
100188842	MIM611494														
100188843	MIM611535														
100188844	MIM611536														
100188845	MIM611543														
100188846	MIM611598														
100188847	MIM611621														
100188848	MIM611630														
100188849	MIM611634														
100188850	MIM611644														
100188851	MIM611706														
100188852	MIM611724														
100188853	MIM611738														
100188854	MIM611739														
100188855	MIM611863														
100188856	MIM611867														
100188857	MIM611891														
100188858	MIM611892														
100188859	MIM611907														
100188860	MIM611920														
100188861	MIM611934														
100188862	MIM611936														
100188863	MIM131200														
100188864	MIM235000														
100188865	MIM611944														
100188867	MIM611958														
100188868	MIM611959														
100188869	MIM612001														
100188870	MIM612006														
100188871	MIM612007														
100188872	MIM612008														
100188873	MIM612009														
100188874	MIM612010														
100188875	MIM612011														
100188876	MIM612017														
100188877	MIM612030														
100188880	MIM612089														
100188881	MIM612099														
100188882	MIM612110														
100188883	MIM612113														
100188884	MIM612114														
100188885	MIM612161														
100188886	MIM612162														
100188887	MIM612230														
100188891	MIM194630														
100188952	MIM612241														
10019	MIM133100	MIM187950	MIM254450	MIM605093											
100190785	MIM612238														
100190786	MIM612274														
100190787	MIM612279														
100190788	MIM612288														
100190789	MIM612306														
100190790	MIM612311														
100190791	MIM612312														
100190926	MIM612278														
100190928	MIM612254														
100190929	MIM612255														
100190930	MIM612259														
100190931	MIM612262														
100190932	MIM612263														
100190933	MIM612271														
100190982	MIM612293														
100190983	MIM612313														
100190984	MIM612337														
100190985	MIM612239														
100192306	MIM251255														
100192307	MIM612343														
100192308	MIM612345														
100192311	MIM612083														
100192312	MIM612354														
100196909	MIM171720														
100196910	MIM175850														
100196911	MIM612353														
100196912	MIM612357														
100196913	MIM612361														
100196914	MIM612367														
100196915	MIM612368														
100196916	MIM612369														
100196917	MIM612372														
100196918	MIM612378														
100196919	MIM612388														
1002	MIM603006														
10020	MIM269921	MIM600737	MIM603824	MIM605820											
10021	MIM163800	MIM605206	MIM613123												
100216344	MIM612406														
100216483	MIM601808														
100216484	MIM612417														
100217370	MIM612474														
100217371	MIM612475														
100217387	MIM612421														
10022	MIM606413														
10023	MIM602503														
100233147	MIM612448														
100233157	MIM612459														
100233158	MIM612460														
100233159	MIM612469														
100233226	MIM608557														
100233227	MIM612514														
10024	MIM603872														
100240702	MIM611637														
100240730	MIM609757														
100240731	MIM611102														
100240732	MIM612380														
100240733	MIM612381														
100240736	MIM606528														
100240737	MIM607872														
100240738	MIM608363														
100240739	MIM609334														
100240740	MIM612513														
100240747	MIM146390														
100240748	MIM158170														
10025	MIM604062														
10026	MIM605087														
100270639	MIM612525														
100270641	MIM612554														
100270642	MIM612557														
100270643	MIM612558														
100270644	MIM612559														
100270794	MIM612221														
100270795	MIM612223														
100270796	MIM612226														
100270797	MIM612228														
100270798	MIM612566														
100270799	MIM612567														
100270800	MIM612576														
100270801	MIM612578														
100270802	MIM612579														
